threshold,tp,fp,fn,tn,Amount_tp_sum,precision,recall,fp_to_tp,accuracy,F1,specificity,fpr,Amount_weighted_recall
0.0,357.0,164497.0,0,0,39398.69,0.0021655525495286737,1.0,460.77591036414566,0.0021655525495286737,0.004321746130705582,0.0,1.0,1.0
0.01,357.0,292.0,0,164205,39398.69,0.5500770416024653,1.0,0.8179271708683473,0.9982287357297973,0.709741550695825,0.9982248916393612,0.0017751083606387663,1.0
0.02,357.0,147.0,0,164350,39398.69,0.7083333333333334,1.0,0.4117647058823529,0.9991083018913706,0.8292682926829268,0.9991063666814592,0.0008936333185407541,1.0
0.03,356.0,102.0,1,164395,39397.170000000006,0.777292576419214,0.9971988795518207,0.28651685393258425,0.9993752047266066,0.8736196319018404,0.9993799279014207,0.0006200720985792829,0.9999614200370622
0.04,354.0,70.0,3,164427,39395.41,0.8349056603773585,0.9915966386554622,0.1977401129943503,0.9995571839324493,0.9065300896286812,0.9995744603245044,0.0004255396754956342,0.9999167485010289
0.05,354.0,59.0,3,164438,39395.41,0.8571428571428571,0.9915966386554622,0.16666666666666666,0.9996239096412584,0.9194805194805195,0.9996413308449394,0.00035866915506055363,0.9999167485010289
0.06,353.0,51.0,4,164446,39394.23,0.8737623762376238,0.988795518207283,0.14447592067988668,0.9996663714559549,0.9277266754270697,0.9996899639507103,0.00031003604928969697,0.999886798266643
0.07,351.0,46.0,6,164451,38813.26,0.8841309823677582,0.9831932773109243,0.13105413105413105,0.9996845693765393,0.9310344827586207,0.9997203596418172,0.00027964035818284216,0.9851408765113764
0.08,351.0,43.0,6,164454,38813.26,0.8908629441624365,0.9831932773109243,0.1225071225071225,0.9997027672971235,0.9347536617842876,0.9997385970564813,0.0002614029435187293,0.9851408765113764
0.09,351.0,39.0,6,164458,38813.26,0.9,0.9831932773109243,0.1111111111111111,0.9997270311912358,0.9397590361445783,0.9997629136093668,0.00023708639063324544,0.9851408765113764
0.1,351.0,37.0,6,164460,38813.26,0.904639175257732,0.9831932773109243,0.10541310541310542,0.999739163138292,0.9422818791946309,0.9997750718858095,0.00022492811419050351,0.9851408765113764
0.11,351.0,36.0,6,164461,38813.26,0.9069767441860465,0.9831932773109243,0.10256410256410256,0.9997452291118202,0.9435483870967742,0.9997811510240309,0.00021884897596913255,0.9851408765113764
0.12,351.0,31.0,6,164466,38813.26,0.918848167539267,0.9831932773109243,0.08831908831908832,0.9997755589794606,0.9499323410013532,0.9998115467151376,0.00018845328486238877,0.9851408765113764
0.13,350.0,29.0,7,164468,38458.93,0.9234828496042217,0.9803921568627451,0.08285714285714285,0.9997816249529887,0.9510869565217391,0.9998237049915804,0.00017629500841964685,0.9761474302825804
0.14,350.0,28.0,7,164469,38458.93,0.9259259259259259,0.9803921568627451,0.08,0.9997876909265168,0.9523809523809523,0.9998297841298017,0.0001702158701982759,0.9761474302825804
0.15,350.0,27.0,7,164470,38458.93,0.9283819628647215,0.9803921568627451,0.07714285714285714,0.9997937569000449,0.9536784741144414,0.9998358632680231,0.00016413673197690493,0.9761474302825804
0.16,349.0,26.0,8,164471,38425.17,0.9306666666666666,0.9775910364145658,0.07449856733524356,0.9997937569000449,0.953551912568306,0.9998419424062445,0.00015805759375553396,0.975290549000487
0.17,348.0,24.0,9,164473,38405.58,0.9354838709677419,0.9747899159663865,0.06896551724137931,0.9997998228735729,0.9547325102880658,0.9998541006826872,0.00014589931731279204,0.974793324346571
0.18,348.0,22.0,9,164475,38405.58,0.9405405405405406,0.9747899159663865,0.06321839080459771,0.9998119548206291,0.9573590096286108,0.99986625895913,0.00013374104087005012,0.974793324346571
0.19,348.0,21.0,9,164476,38405.58,0.943089430894309,0.9747899159663865,0.0603448275862069,0.9998180207941573,0.9586776859504132,0.9998723380973513,0.00012766190264867916,0.974793324346571
0.2,347.0,20.0,10,164477,38404.58,0.9455040871934605,0.9719887955182073,0.05763688760806916,0.9998180207941573,0.9585635359116023,0.9998784172355727,0.0001215827644273082,0.9747679427920065
0.21,347.0,18.0,10,164479,38404.58,0.9506849315068493,0.9719887955182073,0.05187319884726225,0.9998301527412135,0.961218836565097,0.9998905755120154,0.00010942448798456628,0.9747679427920065
0.22,344.0,16.0,13,164481,38300.85,0.9555555555555556,0.9635854341736695,0.046511627906976744,0.9998240867676853,0.9595536959553695,0.9999027337884582,9.726621154182435e-05,0.9721351141370436
0.23,344.0,16.0,13,164481,38300.85,0.9555555555555556,0.9635854341736695,0.046511627906976744,0.9998240867676853,0.9595536959553695,0.9999027337884582,9.726621154182435e-05,0.9721351141370436
0.24,343.0,16.0,14,164481,38293.27,0.9554317548746518,0.9607843137254902,0.04664723032069971,0.9998180207941573,0.9581005586592178,0.9999027337884582,9.726621154182435e-05,0.9719427219534456
0.25,342.0,15.0,15,164482,38263.32,0.957983193277311,0.957983193277311,0.043859649122807015,0.9998180207941573,0.957983193277311,0.9999088129266795,9.11870733204534e-05,0.9711825443942425
0.26,341.0,15.0,16,164482,38263.12,0.9578651685393258,0.9551820728291317,0.04398826979472141,0.9998119548206291,0.9565217391304348,0.9999088129266795,9.11870733204534e-05,0.9711774680833297
0.27,340.0,15.0,17,164482,37943.12,0.9577464788732394,0.9523809523809523,0.04411764705882353,0.9998058888471011,0.9550561797752809,0.9999088129266795,9.11870733204534e-05,0.9630553706227288
0.28,340.0,15.0,17,164482,37943.12,0.9577464788732394,0.9523809523809523,0.04411764705882353,0.9998058888471011,0.9550561797752809,0.9999088129266795,9.11870733204534e-05,0.9630553706227288
0.29,339.0,15.0,18,164482,37423.22,0.9576271186440678,0.9495798319327731,0.04424778761061947,0.9997998228735729,0.9535864978902954,0.9999088129266795,9.11870733204534e-05,0.9498595004047089
0.3,339.0,13.0,18,164484,37423.22,0.9630681818181818,0.9495798319327731,0.038348082595870206,0.9998119548206291,0.9562764456981664,0.9999209712031223,7.902879687771147e-05,0.9498595004047089
0.31,338.0,13.0,19,164484,37133.04,0.9629629629629629,0.9467787114845938,0.038461538461538464,0.9998058888471011,0.9548022598870056,0.9999209712031223,7.902879687771147e-05,0.9424942809012178
0.32,337.0,13.0,20,164484,37088.01,0.9628571428571429,0.9439775910364145,0.03857566765578635,0.9997998228735729,0.9533239038189534,0.9999209712031223,7.902879687771147e-05,0.9413513494991839
0.33,337.0,13.0,20,164484,37088.01,0.9628571428571429,0.9439775910364145,0.03857566765578635,0.9997998228735729,0.9533239038189534,0.9999209712031223,7.902879687771147e-05,0.9413513494991839
0.34,337.0,13.0,20,164484,37088.01,0.9628571428571429,0.9439775910364145,0.03857566765578635,0.9997998228735729,0.9533239038189534,0.9999209712031223,7.902879687771147e-05,0.9413513494991839
0.35000000000000003,337.0,12.0,20,164485,37088.01,0.9656160458452722,0.9439775910364145,0.03560830860534125,0.9998058888471011,0.9546742209631728,0.9999270503413437,7.294965865634051e-05,0.9413513494991839
0.36,336.0,12.0,21,164485,37087.01,0.9655172413793104,0.9411764705882353,0.03571428571428571,0.9997998228735729,0.9531914893617022,0.9999270503413437,7.294965865634051e-05,0.9413259679446194
0.37,335.0,12.0,22,164485,36451.91,0.9654178674351584,0.938375350140056,0.03582089552238806,0.9997937569000449,0.9517045454545454,0.9999270503413437,7.294965865634051e-05,0.9252061426407833
0.38,334.0,12.0,23,164485,36322.91,0.9653179190751445,0.9355742296918768,0.03592814371257485,0.9997876909265168,0.9502133712660028,0.9999270503413437,7.294965865634051e-05,0.9219319221019786
0.39,334.0,12.0,23,164485,36322.91,0.9653179190751445,0.9355742296918768,0.03592814371257485,0.9997876909265168,0.9502133712660028,0.9999270503413437,7.294965865634051e-05,0.9219319221019786
0.4,334.0,10.0,23,164487,36322.91,0.9709302325581395,0.9355742296918768,0.029940119760479042,0.9997998228735729,0.9529243937232525,0.9999392086177863,6.079138221370961e-05,0.9219319221019786
0.41000000000000003,333.0,9.0,24,164488,36321.91,0.9736842105263158,0.9327731092436975,0.02702702702702703,0.9997998228735729,0.9527896995708155,0.9999452877560077,5.471224399233865e-05,0.9219065405474142
0.42,333.0,6.0,24,164491,36321.91,0.9823008849557522,0.9327731092436975,0.018018018018018018,0.9998180207941573,0.9568965517241379,0.9999635251706718,3.6474829328225766e-05,0.9219065405474142
0.43,333.0,6.0,24,164491,36321.91,0.9823008849557522,0.9327731092436975,0.018018018018018018,0.9998180207941573,0.9568965517241379,0.9999635251706718,3.6474829328225766e-05,0.9219065405474142
0.44,331.0,6.0,26,164491,36206.71000000001,0.9821958456973294,0.927170868347339,0.01812688821752266,0.9998058888471011,0.9538904899135446,0.9999635251706718,3.6474829328225766e-05,0.918982585461598
0.45,331.0,5.0,26,164492,36206.71000000001,0.9851190476190477,0.927170868347339,0.015105740181268883,0.9998119548206291,0.9552669552669553,0.9999696043088931,3.0395691106854805e-05,0.918982585461598
0.46,330.0,5.0,27,164492,36199.72000000001,0.9850746268656716,0.9243697478991597,0.015151515151515152,0.9998058888471011,0.953757225433526,0.9999696043088931,3.0395691106854805e-05,0.918805168395193
0.47000000000000003,329.0,5.0,28,164492,36169.58000000001,0.9850299401197605,0.9215686274509803,0.015197568389057751,0.9997998228735729,0.9522431259044862,0.9999696043088931,3.0395691106854805e-05,0.9180401683406226
0.48,328.0,5.0,29,164492,36168.66000000001,0.984984984984985,0.9187675070028011,0.01524390243902439,0.9997937569000449,0.9507246376811594,0.9999696043088931,3.0395691106854805e-05,0.9180168173104235
0.49,327.0,5.0,30,164492,35960.08000000001,0.9849397590361446,0.9159663865546218,0.01529051987767584,0.9997876909265168,0.9492017416545718,0.9999696043088931,3.0395691106854805e-05,0.9127227326593855
0.5,326.0,5.0,31,164492,35954.99000000001,0.9848942598187311,0.9131652661064426,0.015337423312883436,0.9997816249529887,0.9476744186046512,0.9999696043088931,3.0395691106854805e-05,0.912593540546653
0.51,326.0,5.0,31,164492,35954.99000000001,0.9848942598187311,0.9131652661064426,0.015337423312883436,0.9997816249529887,0.9476744186046512,0.9999696043088931,3.0395691106854805e-05,0.912593540546653
0.52,326.0,5.0,31,164492,35954.99000000001,0.9848942598187311,0.9131652661064426,0.015337423312883436,0.9997816249529887,0.9476744186046512,0.9999696043088931,3.0395691106854805e-05,0.912593540546653
0.53,326.0,4.0,31,164493,35954.99000000001,0.9878787878787879,0.9131652661064426,0.012269938650306749,0.9997876909265168,0.9490538573508006,0.9999756834471145,2.4316552885483844e-05,0.912593540546653
0.54,326.0,2.0,31,164495,35954.99000000001,0.9939024390243902,0.9131652661064426,0.006134969325153374,0.9997998228735729,0.9518248175182482,0.9999878417235573,1.2158276442741922e-05,0.912593540546653
0.55,325.0,1.0,32,164496,35954.23000000001,0.9969325153374233,0.9103641456582633,0.003076923076923077,0.9997998228735729,0.9516837481698389,0.9999939208617786,6.079138221370961e-06,0.9125742505651839
0.56,325.0,1.0,32,164496,35954.23000000001,0.9969325153374233,0.9103641456582633,0.003076923076923077,0.9997998228735729,0.9516837481698389,0.9999939208617786,6.079138221370961e-06,0.9125742505651839
0.5700000000000001,324.0,1.0,33,164496,35382.75000000001,0.9969230769230769,0.907563025210084,0.0030864197530864196,0.9997937569000449,0.9501466275659824,0.9999939208617786,6.079138221370961e-06,0.8980691997627334
0.58,322.0,1.0,35,164496,34954.170000000006,0.9969040247678018,0.9019607843137255,0.003105590062111801,0.9997816249529887,0.9470588235294117,0.9999939208617786,6.079138221370961e-06,0.8871911731075324
0.59,322.0,1.0,35,164496,34954.170000000006,0.9969040247678018,0.9019607843137255,0.003105590062111801,0.9997816249529887,0.9470588235294117,0.9999939208617786,6.079138221370961e-06,0.8871911731075324
0.6,321.0,1.0,36,164496,34953.41,0.9968944099378882,0.8991596638655462,0.003115264797507788,0.9997755589794606,0.9455081001472754,0.9999939208617786,6.079138221370961e-06,0.8871718831260633
0.61,320.0,1.0,37,164496,34950.29,0.9968847352024922,0.896358543417367,0.003125,0.9997694930059325,0.943952802359882,0.9999939208617786,6.079138221370961e-06,0.8870926926758225
0.62,318.0,1.0,39,164496,34849.54,0.9968652037617555,0.8907563025210085,0.0031446540880503146,0.9997573610588764,0.9408284023668639,0.9999939208617786,6.079138221370961e-06,0.8845355010534613
0.63,317.0,1.0,40,164496,34848.54,0.9968553459119497,0.8879551820728291,0.0031545741324921135,0.9997512950853482,0.9392592592592592,0.9999939208617786,6.079138221370961e-06,0.884510119498897
0.64,317.0,1.0,40,164496,34848.54,0.9968553459119497,0.8879551820728291,0.0031545741324921135,0.9997512950853482,0.9392592592592592,0.9999939208617786,6.079138221370961e-06,0.884510119498897
0.65,317.0,1.0,40,164496,34848.54,0.9968553459119497,0.8879551820728291,0.0031545741324921135,0.9997512950853482,0.9392592592592592,0.9999939208617786,6.079138221370961e-06,0.884510119498897
0.66,316.0,1.0,41,164496,34844.75,0.9968454258675079,0.8851540616246498,0.0031645569620253164,0.9997452291118202,0.9376854599406528,0.9999939208617786,6.079138221370961e-06,0.884413923407098
0.67,315.0,1.0,42,164496,34843.75,0.9968354430379747,0.8823529411764706,0.0031746031746031746,0.999739163138292,0.9361069836552749,0.9999939208617786,6.079138221370961e-06,0.8843885418525336
0.68,312.0,1.0,45,164496,34041.02,0.9968051118210862,0.8739495798319328,0.003205128205128205,0.9997209652177078,0.9313432835820895,0.9999939208617786,6.079138221370961e-06,0.8640140065570707
0.6900000000000001,311.0,1.0,46,164496,34021.28999999999,0.9967948717948718,0.8711484593837535,0.003215434083601286,0.9997148992441797,0.929745889387145,0.9999939208617786,6.079138221370961e-06,0.8635132284855154
0.7000000000000001,310.0,1.0,47,164496,34017.52999999999,0.9967845659163987,0.8683473389355743,0.0032258064516129032,0.9997088332706516,0.9281437125748503,0.9999939208617786,6.079138221370961e-06,0.8634177938403533
0.71,308.0,1.0,49,164496,33997.48999999999,0.9967637540453075,0.8627450980392157,0.003246753246753247,0.9996967013235954,0.924924924924925,0.9999939208617786,6.079138221370961e-06,0.8629091474868832
0.72,307.0,1.0,50,164496,33993.69999999999,0.9967532467532467,0.8599439775910365,0.003257328990228013,0.9996906353500673,0.9233082706766917,0.9999939208617786,6.079138221370961e-06,0.8628129513950842
0.73,307.0,1.0,50,164496,33993.69999999999,0.9967532467532467,0.8599439775910365,0.003257328990228013,0.9996906353500673,0.9233082706766917,0.9999939208617786,6.079138221370961e-06,0.8628129513950842
0.74,307.0,1.0,50,164496,33993.69999999999,0.9967532467532467,0.8599439775910365,0.003257328990228013,0.9996906353500673,0.9233082706766917,0.9999939208617786,6.079138221370961e-06,0.8628129513950842
0.75,306.0,1.0,51,164496,33164.289999999986,0.996742671009772,0.8571428571428571,0.0032679738562091504,0.9996845693765393,0.9216867469879518,0.9999939208617786,6.079138221370961e-06,0.8417612362238436
0.76,305.0,1.0,52,164496,33163.289999999986,0.9967320261437909,0.8543417366946778,0.003278688524590164,0.9996785034030111,0.9200603318250377,0.9999939208617786,6.079138221370961e-06,0.8417358546692792
0.77,305.0,1.0,52,164496,33163.289999999986,0.9967320261437909,0.8543417366946778,0.003278688524590164,0.9996785034030111,0.9200603318250377,0.9999939208617786,6.079138221370961e-06,0.8417358546692792
0.78,304.0,1.0,53,164496,33162.289999999986,0.9967213114754099,0.8515406162464986,0.003289473684210526,0.9996724374294831,0.918429003021148,0.9999939208617786,6.079138221370961e-06,0.8417104731147148
0.79,301.0,1.0,56,164496,32338.709999999985,0.9966887417218543,0.8431372549019608,0.0033222591362126247,0.9996542395088988,0.91350531107739,0.9999939208617786,6.079138221370961e-06,0.8208067324065846
0.8,300.0,1.0,57,164496,32337.949999999986,0.9966777408637874,0.8403361344537815,0.0033333333333333335,0.9996481735353707,0.9118541033434651,0.9999939208617786,6.079138221370961e-06,0.8207874424251158
0.81,296.0,1.0,61,164496,32316.949999999986,0.9966329966329966,0.8291316526610645,0.0033783783783783786,0.9996239096412584,0.9051987767584098,0.9999939208617786,6.079138221370961e-06,0.8202544297792639
0.8200000000000001,296.0,1.0,61,164496,32316.949999999986,0.9966329966329966,0.8291316526610645,0.0033783783783783786,0.9996239096412584,0.9051987767584098,0.9999939208617786,6.079138221370961e-06,0.8202544297792639
0.8300000000000001,294.0,1.0,63,164496,32308.379999999986,0.9966101694915255,0.8235294117647058,0.003401360544217687,0.9996117776942022,0.901840490797546,0.9999939208617786,6.079138221370961e-06,0.8200369098566471
0.84,290.0,1.0,67,164496,32168.269999999986,0.9965635738831615,0.8123249299719888,0.0034482758620689655,0.9995875138000898,0.8950617283950617,0.9999939208617786,6.079138221370961e-06,0.8164807002466321
0.85,289.0,1.0,68,164496,31856.359999999986,0.996551724137931,0.8095238095238095,0.0034602076124567475,0.9995814478265617,0.893353941267388,0.9999939208617786,6.079138221370961e-06,0.8085639395624571
0.86,287.0,1.0,70,164496,31854.089999999986,0.9965277777777778,0.803921568627451,0.003484320557491289,0.9995693158795055,0.889922480620155,0.9999939208617786,6.079138221370961e-06,0.808506323433596
0.87,284.0,0.0,73,164497,31457.949999999986,1.0,0.7955182072829131,0.0,0.9995571839324493,0.8861154446177847,1.0,0.0,0.7984516744084634
0.88,279.0,0.0,78,164497,30959.749999999985,1.0,0.7815126050420168,0.0,0.9995268540648089,0.8773584905660378,1.0,0.0,0.7858065839244904
0.89,272.0,0.0,85,164497,29124.979999999985,1.0,0.7619047619047619,0.0,0.9994843922501122,0.8648648648648649,1.0,0.0,0.7392372690564073
0.9,269.0,0.0,88,164497,28953.599999999984,1.0,0.7535014005602241,0.0,0.999466194329528,0.8594249201277955,1.0,0.0,0.7348873782351643
0.91,260.0,0.0,97,164497,28548.639999999985,1.0,0.7282913165266106,0.0,0.9994116005677751,0.8427876823338736,1.0,0.0,0.7246088638987739
0.92,258.0,0.0,99,164497,28236.359999999986,1.0,0.7226890756302521,0.0,0.9993994686207189,0.8390243902439024,1.0,0.0,0.71668271203941
0.93,251.0,0.0,106,164497,27890.069999999985,1.0,0.7030812324929971,0.0,0.9993570068060224,0.8256578947368421,1.0,0.0,0.7078933335093117
0.9400000000000001,234.0,0.0,123,164497,26754.319999999985,1.0,0.6554621848739496,0.0,0.9992538852560447,0.7918781725888325,1.0,0.0,0.6790662329128198
0.9500000000000001,220.0,0.0,137,164497,24848.269999999986,1.0,0.6162464985994398,0.0,0.9991689616266515,0.7625649913344887,1.0,0.0,0.6306877208353878
0.96,191.0,0.0,166,164497,22137.439999999988,1.0,0.5350140056022409,0.0,0.9989930483943368,0.6970802919708029,1.0,0.0,0.561882641275636
0.97,169.0,0.0,188,164497,19714.509999999987,1.0,0.4733893557422969,0.0,0.9988595969767188,0.6425855513307985,1.0,0.0,0.5003849112749684
0.98,134.0,0.0,223,164497,17332.04999999999,1.0,0.3753501400560224,0.0,0.9986472879032355,0.5458248472505092,1.0,0.0,0.43991437278752127
0.99,80.0,0.0,277,164497,11427.649999999987,1.0,0.22408963585434175,0.0,0.9983197253327186,0.36613272311212813,1.0,0.0,0.29005152201760986
